sequenceID	record_ID	organism	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	virus_species	virus_order	virus_family	virus_genus	virus_type
212309.Sarcophilus_harrisii.L	212309	Sarcophilus_harrisii	complete	goldenpath_sarHar1	sarHar1.fa_4.fa	ORF	chr3_GL849648_random	623602	624327	726	JCPV	L	+	106	30.469	4.76	26	118	366	1	726	256	5	157	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212240.Myotis_davidii.L	212240	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_1.fa	ORF	gi|432118830|gb|KB099220.1|	19731	20856	1126	JCPV	L	+	102	43.919	2.48	23	13	159	13	456	148	1	82	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212287.Phascolarctos_cinereus.L	212287	Phascolarctos_cinereus	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	ORF	phaCin_unsw_v4.1.fa.scaf00104	9089568	9090855	1288	JCPV	L	+	99	50	3.99	35	427	534	329	643	108	1	51	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212337.Vombatus_ursinus.L	212337	Vombatus_ursinus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	ORF	UNPS01014789.1	1958516	1958974	459	JCPV	L	+	97.4	39.355	4.03	24	745	898	1	459	155	2	91	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212845.Sarcophilus_harrisii.L	212845	Sarcophilus_harrisii	complete	goldenpath_sarHar1	sarHar1.fa_5.fa	ORF	chr4_GL856748_random	1817612	1819054	1443	JCPV	L	+	96.3	34.583	2	39	436	670	1	705	240	2	147	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212903.Thylacine_cynocephalus.L	212903	Thylacine_cynocephalus	low_coverage	Refassem_1	GCA_007646695.1_UniMelb_Thylacine_Refassem_1_genomic.fna	ORF	VAHE01000352.1	1816984	1818002	1019	JCPV	L	+	94	33.48	9.06	21	441	660	1	660	227	3	137	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212799.Noctilio_leporinus.L	212799	Noctilio_leporinus	low_coverage	NocLep_v1_BIUU	GCA_004026585.1_NocLep_v1_BIUU_genomic.fna	ORF	PVIW01000051.1	175757	179718	3962	JCPV	L	-	93.6	63.235	1.71	40	708	775	1753	1956	68	0	25	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212826.Pipistrellus_pipistrellus.L	212826	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	ORF	PVIQ01000027.1	187040	187504	465	JCPV	L	-	89.7	45.946	1.91	21	13	159	13	456	148	1	79	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212740.Murina_aurata_feae.L	212740	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01000320.1	94688	96960	2273	JCPV	L	+	82	28.47	9.66	50	328	589	922	1689	281	12	157	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212719.Lasiurus_borealis.L	212719	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01031523.1	19932	20288	357	JCPV	L	+	81.3	37.288	5.97	19	83	199	1	354	118	1	73	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212338.Vombatus_ursinus.L	212338	Vombatus_ursinus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	ORF	UNPS01014791.1	40135708	40136708	1001	JCPV	L	+	80.9	36.842	1.72	16	361	504	67	489	152	3	77	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212232.Myotis_brandtii.L	212232	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	ORF	gi|549647324|ref|NW_005307441.1|	358	648	291	JCPV	L	-	80.1	40.594	6.09	19	410	510	13	291	101	2	52	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212885.Antrozous_pallidus.L	212885	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01138851.1	2084	2263	180	JCPV	L	+	77.8	70	8.07	19	590	639	10	153	50	1	13	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212667.Antrozous_pallidus.L	212667	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01156777.1	2128	2307	180	JCPV	L	-	74.7	68	9.7	18	590	639	10	153	50	1	14	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212132.Anoura_caudifer.L	212132	Anoura_caudifer	low_coverage	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	ORF	PVKU01000572.1	432005	432721	717	JCPV	L	-	72	27.027	2.51	14	1220	1474	1	717	259	6	165	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212164.Dipodomys_stephensi.L	212164	Dipodomys_stephensi	low_coverage	DipSte_v1_BIUU	GCA_004024685.1_DipSte_v1_BIUU_genomic.fna	ORF	PVHN010003810.1	42769	43412	644	JCPV	L	+	70.1	36.842	6.76	14	762	875	303	644	114	0	72	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212333.Tonatia_saurophila.L	212333	Tonatia_saurophila	low_coverage	TonSau_v1_BIUU	GCA_004024845.1_TonSau_v1_BIUU_genomic.fna	ORF	PVIA01001121.1	224677	225387	711	JCPV	L	-	68.9	27.917	3.37	13	1157	1385	1	711	240	5	159	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212312.Sarcophilus_harrisii.L	212312	Sarcophilus_harrisii	complete	goldenpath_sarHar1	sarHar1.fa_6.fa	ORF	chr5_GL861678_random	2288138	2289209	1072	JCPV	L	+	68.6	40.777	9.11	18	901	993	1	309	103	2	51	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212189.Lasiurus_borealis.L	212189	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01031732.1	20024	20945	922	JCPV	L	+	68.6	46.377	1.19	24	139	207	1	207	69	0	37	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212137.Antrozous_pallidus.L	212137	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01005217.1	28656	28904	249	JCPV	L	+	67.8	37.363	7.8	15	410	500	1	249	91	2	49	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212138.Antrozous_pallidus.L	212138	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01005217.1	27448	27618	171	JCPV	L	+	66.6	59.649	6.94	15	13	69	1	171	57	0	23	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212330.Thylacine_cynocephalus.L	212330	Thylacine_cynocephalus	low_coverage	Refassem_1	GCA_007646695.1_UniMelb_Thylacine_Refassem_1_genomic.fna	ORF	VAHE01000362.1	2287482	2288559	1078	JCPV	L	+	66.6	39.048	3.55	19	899	993	1	315	105	2	54	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212723.Loxodonta_africana.L	212723	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	ORF	scaffold_30	19800020	19800520	501	JCPV	L	+	63.5	30.636	3.59	12	1041	1213	1	501	173	3	114	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212208.Murina_aurata_feae.L	212208	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01001201.1	51053	52657	1605	JCPV	L	-	63.2	56.14	5.06	18	13	69	1	171	57	0	25	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212202.Mormoops_blainvillei.L	212202	Mormoops_blainvillei	low_coverage	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	ORF	PVJD01007834.1	41674	41922	249	JCPV	L	-	62.4	45.238	4.92	13	1146	1228	1	249	84	2	44	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212288.Phyllostomus_discolor.L	212288	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	ORF	RXPB01008459.1	589746	590570	825	JCPV	L	+	62.4	25.177	8.6	11	1220	1495	1	825	282	7	198	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212289.Phyllostomus_discolor.L	212289	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	ORF	RXPB01004514.1	71	895	825	JCPV	L	+	62.4	25.177	8.6	11	1220	1495	1	825	282	7	198	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212163.Dipodomys_ordii.L	212163	Dipodomys_ordii	complete	ensembl_79_dipOrd1	Dipodomys_ordii.dipOrd1.dna.nonchromosomal.fa	ORF	scaffold_45108_dna:scaffold_scaffold:dipOrd1:scaffold_45108:1:10975:1_REF	355	672	318	JCPV	L	-	61.2	32.8	3.76	12	401	525	1	318	125	3	65	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212153.Castor_canadensis.L	212153	Castor_canadensis	low_coverage	CasCan_v1	GCF_001984765.1_C.can_genome_v1.0_genomic.fna	ORF	NW_017880618.1	4908	5417	510	JCPV	L	+	60.8	28.144	4.11	11	1257	1421	1	480	167	6	111	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211959.Hirundo_rustica.N	211959	Hirundo_rustica	low_coverage	GCA_003692655.1	GCA_003692655.1_Chelidonia_genomic.fna	ORF	QRBI01000106.1	33226476	33228162	1687	JCPV	N	-	397	57.595	3.37	135	45	360	73	1020	316	0	134	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211869.Solenodon_paradoxus_woodi.N	211869	Solenodon_paradoxus_woodi	low_coverage	ASM290108v1	GCA_002901085.1_ASM290108v1_genomic.fna	ORF	NKTL01002688.1	160369	161406	1038	JCPV	N	+	331	49.138	2.72	112	22	369	1	1038	348	1	175	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211702.Phascolarctos_cinereus.N	211702	Phascolarctos_cinereus	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	ORF	phaCin_unsw_v4.1.fa.scaf00150	1454570	1455637	1068	JCPV	N	-	278	41.962	1.66	91	7	369	1	1068	367	4	198	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211363.Erythrocebus_patas.N	211363	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	ORF	PVJV010002623.1	28836	29831	996	JCPV	N	+	253	43.976	9.12	82	39	352	1	996	332	3	168	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211823.Rhinopithecus_bieti.N	211823	Rhinopithecus_bieti	low_coverage	ASM169854v1	GCF_001698545.1_ASM169854v1_genomic.fna	ORF	NW_016806413.1	2483138	2484028	891	JCPV	N	+	240	44.781	2.05	77	58	352	1	891	297	1	162	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211837.Rhinopithecus_roxellana.N	211837	Rhinopithecus_roxellana	low_coverage	ncbi_100_2014-11-18	61622_ref_Rrox_v1_chrUn.fa	ORF	gi|723397927|ref|NW_010816529.1|	3178147	3179037	891	JCPV	N	-	240	44.781	2.05	77	58	352	1	891	297	1	162	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211789.Pygathrix_nemaeus.N	211789	Pygathrix_nemaeus	low_coverage	PygNem_v1_BIUU	GCA_004024825.1_PygNem_v1_BIUU_genomic.fna	ORF	PVHW010003555.1	112999	113886	888	JCPV	N	-	234	44.781	3.51	75	58	352	1	888	297	2	161	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211960.Tachycineta_bicolor.N	211960	Tachycineta_bicolor	low_coverage	CLO_TRES_1	GCA_007636935.1_CLO_TRES_1_genomic.fna	ORF	VKGD01000411.1	75293	76974	1682	JCPV	N	-	234	58.919	2.22	111	182	366	479	1027	185	1	74	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211269.Desmodus_rotundus.N	211269	Desmodus_rotundus	low_coverage	GCA_002940915	GCA_002940915.1_ASM294091v1_genomic.fna	ORF	KZ672283.1	16273353	16274267	915	JCPV	N	-	233	41.195	2.12	74	39	347	1	915	318	4	165	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211233.Colobus_angolensis_palliatus.N	211233	Colobus_angolensis_palliatus	low_coverage	ncbi_100_2015	336983_ref_Cang.pa_1.0_chrUn.fa	ORF	gi|786073051|ref|NW_012116755.1|	496141	497010	870	JCPV	N	-	231	44.483	6.41	74	65	352	1	870	290	1	159	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211101.Anoura_caudifer.N	211101	Anoura_caudifer	low_coverage	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	ORF	PVKU01001242.1	176469	177206	738	JCPV	N	+	211	45.059	7.39	67	106	352	1	738	253	2	126	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211479.Macaca_fascicularis.N	211479	Macaca_fascicularis	complete	5	mfa_ref_Macaca_fascicularis_5.0_chr2.fa	ORF	gi|540352257|ref|NC_022273.1|	99036740	99037591	852	JCPV	N	-	209	42.254	8.67	66	19	286	1	852	284	1	148	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211176.Carollia_perspicillata.N	211176	Carollia_perspicillata	low_coverage	CarPer_v1_BIUU	GCA_004027735.1_CarPer_v1_BIUU_genomic.fna	ORF	PVKM010012648.1	15548	16213	666	JCPV	N	-	209	46.396	1.53	66	127	348	1	666	222	0	119	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211523.Mandrillus_leucophaeus.N	211523	Mandrillus_leucophaeus	low_coverage	Mleu.le_1.0	9568_ref_Mleu.le_1.0_chrUn.fa	ORF	gi|786042137|ref|NW_012109019.1|	1154964	1155815	852	JCPV	N	-	209	42.705	1.78	65	19	283	1	843	281	1	145	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211532.Mandrillus_sphinx.N	211532	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	ORF	SRPC01024210.1	4681550	4682401	852	JCPV	N	-	209	42.705	1.78	65	19	283	1	843	281	1	145	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211718.Phyllostomus_discolor.N	211718	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	ORF	RXPB01009936.1	538633	539511	879	JCPV	N	-	209	38.652	1.2	65	19	300	1	843	282	1	172	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211688.Papio_anubis.N	211688	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_3.fa	ORF	chr2	91364181	91365032	852	JCPV	N	+	206	42.254	2.33	64	19	286	1	852	284	2	148	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211894.Theropithecus_gelada.N	211894	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	ORF	NC_037669.1	96263316	96264167	852	JCPV	N	+	206	41.901	2.63	64	19	286	1	852	284	1	149	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211217.Cercocebus_atys.N	211217	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	ORF	gi|778132153|ref|NW_012003613.1|	291297	292148	852	JCPV	N	+	205	42.254	4.64	64	19	286	1	852	284	1	148	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211489.Macaca_fuscata.N	211489	Macaca_fuscata	low_coverage	GCA_003118495	GCA_003118495.1_macFus_1.0_genomic.fna	ORF	BFBW01005855.1	43726	44574	849	JCPV	N	+	204	41.901	1.02	63	19	286	1	849	284	2	148	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211662.Otolemur_garnettii.N	211662	Otolemur_garnettii	complete	goldenpath_otoGar3	otoGar3.fa	ORF	GL873520	70854275	70855237	963	JCPV	N	+	201	36.28	5.92	62	42	369	1	963	328	2	202	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211270.Desmodus_rotundus.N	211270	Desmodus_rotundus	low_coverage	GCA_002940915	GCA_002940915.1_ASM294091v1_genomic.fna	ORF	KZ672049.1	2544343	2545297	955	JCPV	N	+	200	48	2.58	68	139	338	356	955	200	0	104	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211676.Pan_troglodytes.N	211676	Pan_troglodytes	complete	goldenpath_panTro4	panTro4.fa	ORF	chr3	44777587	44778552	966	JCPV	N	-	200	37.764	1.29	61	50	369	1	966	331	6	186	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211425.Homo_sapiens.N	211425	Homo_sapiens	complete	goldenpath_hg19_2009	chr3.fa	ORF	chr3	44173658	44174623	966	JCPV	N	-	197	37.462	2.12	60	50	369	1	966	331	6	187	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211433.Homo_sapiens.N	211433	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr3.fa	ORF	chr3	44132166	44133131	966	JCPV	N	-	197	37.462	2.12	60	50	369	1	966	331	6	187	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211392.Gorilla_gorilla.N	211392	Gorilla_gorilla	complete	goldenpath_gorGor3	gorGor3.fa	ORF	chr3	45240095	45241144	1050	JCPV	N	-	196	35.933	1.52	59	35	369	1	1050	359	6	197	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211505.Macaca_nemestrina.N	211505	Macaca_nemestrina	low_coverage	Mnem_1.0	mne_ref_Mnem_1.0_chrUn.fa	ORF	gi|778101192|ref|NW_012018354.1|	14397963	14398649	687	JCPV	N	-	196	44.978	2	61	58	286	1	687	229	0	126	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211780.Pteronotus_parnellii.N	211780	Pteronotus_parnellii	low_coverage	ncbi_AWGZ00000000.1_2015-05	AWGZ01.3.fsa_nt.fa	ORF	gi|539715453|gb|AWGZ01350440.1|	1067	2004	938	JCPV	N	+	194	49.231	1.12	64	158	352	354	938	195	0	99	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211853.Saimiri_boliviensis.N	211853	Saimiri_boliviensis	complete	goldenpath_saiBol1	saiBol1.fa	ORF	JH378242	3608003	3608662	660	JCPV	N	-	189	44.545	7.96	59	151	370	1	660	220	0	122	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211098.Alouatta_palliata.N	211098	Alouatta_palliata	low_coverage	AloPal_v1_BIUU	GCA_004027835.1_AloPal_v1_BIUU_genomic.fna	ORF	PVKV010000676.1	134714	135364	651	JCPV	N	-	186	46.083	1.02	57	147	363	1	651	217	0	117	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211909.Trichechus_manatus.N	211909	Trichechus_manatus	complete	goldenpath_triMan1	triMan1.fa_1.fa	ORF	JH594616	10500266	10501117	852	JCPV	N	-	184	37.276	6.32	56	70	340	1	807	279	4	157	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211457.Lipotes_vexillifer.N	211457	Lipotes_vexillifer	low_coverage	ncbi_100_2014-04-27	118797_ref_Lipotes_vexillifer_v1_chrUn.fa	ORF	gi|599238194|ref|NW_006786304.1|	855842	856753	912	JCPV	N	+	182	37.082	5.53	55	21	347	1	912	329	8	180	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211725.Physeter_catodon.N	211725	Physeter_catodon	low_coverage	2.0.2	9755_ref_Physeter_macrocephalus-2.0.2_chrUn.fa	ORF	gi|589823592|ref|NW_006712998.1|	925379	926053	675	JCPV	N	-	181	41.739	9.1	56	118	347	1	675	230	3	129	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211109.Aotus_nancymaae.N	211109	Aotus_nancymaae	low_coverage	ncbi_1.0_April_2015	ana_ref_Anan_1.0_chrUn.fa	ORF	gi|816290448|ref|NW_012183992.1|	1317076	1318143	1068	JCPV	N	-	179	33.696	3.05	53	10	361	1	1068	368	8	216	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211549.Megaptera_novaeangliae.N	211549	Megaptera_novaeangliae	low_coverage	megNov1	GCA_004329385.1_megNov1_genomic.fna	ORF	RYZJ01000820.1	4882131	4883027	897	JCPV	N	-	178	35.526	1.8	53	89	347	1	897	304	4	146	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211902.Tonatia_saurophila.N	211902	Tonatia_saurophila	low_coverage	TonSau_v1_BIUU	GCA_004024845.1_TonSau_v1_BIUU_genomic.fna	ORF	PVIA01000011.1	654042	654683	642	JCPV	N	+	178	42.991	1.28	54	139	352	1	642	214	0	122	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211091.Alouatta_palliata.N	211091	Alouatta_palliata	low_coverage	AloPal_v1_BIUU	GCA_004027835.1_AloPal_v1_BIUU_genomic.fna	ORF	PVKV010000744.1	202722	203582	861	JCPV	N	-	176	38.305	1.19	52	77	370	1	861	295	3	173	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211508.Macropus_eugenii.N	211508	Macropus_eugenii	low_coverage	goldenpath_macEug2	macEug2.fa	ORF	GL121285	1828	2373	546	JCPV	N	-	175	47.486	7.4	54	146	324	1	537	179	0	94	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211366.Eschrichtius_robustus.N	211366	Eschrichtius_robustus	low_coverage	ASM218922v1	GCA_002189225.1_ASM218922v1_genomic.fna	ORF	NIPP01000119.1	290306	290953	648	JCPV	N	+	175	42.081	2.7	53	127	347	1	648	221	3	123	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211493.Macaca_mulatta.N	211493	Macaca_mulatta	low_coverage	goldenpath_rheMac3	rheMac3.fa_3.fa	ORF	chr2	93827316	93827990	675	JCPV	N	+	173	40.444	1.84	52	19	227	1	675	225	1	118	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211719.Phyllostomus_discolor.N	211719	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	ORF	RXPB01008946.1	20020	20583	564	JCPV	N	-	172	46.893	7.97	53	124	300	1	528	177	1	93	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211736.Platanista_minor.N	211736	Platanista_minor	low_coverage	PlaMin_v1_BIUU	GCA_004363435.1_PlaMin_v1_BIUU_genomic.fna	ORF	RJWK010077809.1	6024	6689	666	JCPV	N	-	172	40.969	2.83	52	129	355	1	666	227	3	129	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211445.Kogia_breviceps.N	211445	Kogia_breviceps	low_coverage	v1_BIUU	GCA_004363705.1_KogBre_v1_BIUU_genomic.fna	ORF	RJWL010165108.1	643	1287	645	JCPV	N	+	169	41.364	2.78	51	128	347	1	645	220	3	124	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
212877.Macrotus_californicus.N	212877	Macrotus_californicus	low_coverage	MacCal_v1_BIUU	GCA_007922815.1_MacCal_v1_BIUU_genomic.fna	ORF	VMDR010003100.1	8104	8951	848	JCPV	N	-	169	48.571	2.51	62	178	352	324	848	175	0	90	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211115.Aotus_nancymaae.N	211115	Aotus_nancymaae	low_coverage	ncbi_1.0_April_2015	ana_ref_Anan_1.0_chrUn.fa	ORF	gi|816286174|ref|NW_012185313.1|	1078084	1078746	663	JCPV	N	-	169	43.891	6.93	51	147	364	1	663	221	1	121	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211626.Noctilio_leporinus.N	211626	Noctilio_leporinus	low_coverage	NocLep_v1_BIUU	GCA_004026585.1_NocLep_v1_BIUU_genomic.fna	ORF	PVIW01000066.1	206472	207218	747	JCPV	N	+	169	36.502	1.01	50	84	330	1	747	263	3	137	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211471.Loxodonta_africana.N	211471	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	ORF	scaffold_9	39246451	39247230	780	JCPV	N	-	168	36.604	5.34	50	112	350	1	780	265	5	137	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211444.Kogia_breviceps.N	211444	Kogia_breviceps	low_coverage	v1_BIUU	GCA_004363705.1_KogBre_v1_BIUU_genomic.fna	ORF	RJWL010164746.1	642	1286	645	JCPV	N	+	167	40.909	3.29	50	128	347	1	645	220	3	125	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211739.Plecturocebus_donacophilus.N	211739	Plecturocebus_donacophilus	low_coverage	CalDon_v1_BIUU	GCA_004027715.1_CalDon_v1_BIUU_genomic.fna	ORF	PVKP010027952.1	27500	28201	702	JCPV	N	-	165	39.331	2.51	49	129	363	1	702	239	2	136	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211511.Macrotus_californicus.N	211511	Macrotus_californicus	low_coverage	MacCal_v1_BIUU	GCA_007922815.1_MacCal_v1_BIUU_genomic.fna	ORF	VMDR010015442.1	4236	5254	1019	JCPV	N	-	165	38.154	5.34	48	47	363	123	1019	325	6	167	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211553.Mesoplodon_bidens.N	211553	Mesoplodon_bidens	low_coverage	MesBid_v1	GCA_004027085.1_MesBid_v1_BIUU_genomic.fna	ORF	PVJJ010002158.1	100094	100855	762	JCPV	N	+	165	38.077	6.06	49	92	347	1	762	260	5	151	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211756.Pongo_abelii.N	211756	Pongo_abelii	complete	goldenpath_ponAbe2	chr3.fa	ORF	chr3	102484409	102485152	744	JCPV	N	+	164	38.911	9.87	49	115	363	1	744	257	5	140	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211145.Callithrix_jacchus.N	211145	Callithrix_jacchus	low_coverage	goldenpath_calJac3	calJac3.fa	ORF	chr15	19813131	19813913	783	JCPV	N	-	161	38.806	2.05	47	65	331	1	783	268	2	156	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211628.Nycticebus_coucang.N	211628	Nycticebus_coucang	low_coverage	NycCou_v1_BIUU	GCA_004027815.1_NycCou_v1_BIUU_genomic.fna	ORF	PVIV010031346.1	21394	22047	654	JCPV	N	+	160	41.176	1.14	47	127	347	1	651	221	2	126	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
211123.Balaenoptera_acutorostrata.N	211123	Balaenoptera_acutorostrata	low_coverage	goldenpath_balAcu1	balAcu1.fa	ORF	KI537293	3276334	3276981	648	JCPV	N	-	159	42.986	3.26	47	127	347	1	648	221	3	121	JCPV	Unclassified	Bornaviridae	Carbovirus	Exogenous
